source,target,flow_real
1,2.0,99.91472694669456
1,6.0,100.08527305330549
2,3.0,99.91472694669456
3,4.0,0.0
3,8.0,99.91472694669456
4,5.0,0.0
4,9.0,0.0
5,10.0,0.0
6,7.0,100.08527305330549
6,16.0,0.0
7,8.0,0.0
7,15.0,100.08527305330549
8,9.0,0.0
8,14.0,99.91472694669456
9,10.0,0.0
9,12.0,0.0
10,11.0,0.0
11,13.0,0.0
12,13.0,0.0
12,14.0,0.0
14,15.0,0.0
14,20.0,99.91472694669456
15,16.0,0.0
15,21.0,100.08527305330549
16,17.0,0.0
17,18.0,0.0
17,19.0,0.0
19,21.0,0.0
20,21.0,45.3533482675778
20,24.0,145.26543729207833
21,22.0,54.73456270792172
22,23.0,0.0
22,24.0,54.73456270792172
24,25.0,200.0
